orderkey,partkey,suppkey,linenumber,quantity,extendedprice,sale,tax,returnflag,linestatus,shipdate,commitdate,receiptdate,shipinstruct,shipmode,comment,surcharge
1069,136,4,6,21,90580.16,0.08,0.06,A,F,5/17/1994,7/1/1998,2/24/1996,NONE,AIR,line comment 26,100.99
1457,22,6,7,47,51125.59,0.01,0.04,A,O,4/28/1996,4/24/1995,11/16/1993,DELIVER IN PERSON,TRUCK,line comment 27,100.99
385,125,2,1,4,23008.07,0.04,0.06,R,O,4/27/1997,12/2/1998,10/7/1998,NONE,AIR,line comment 28,100.99
267,57,6,2,20,74620.71,0.02,0.08,R,F,3/9/1994,10/5/1998,4/12/1995,TAKE BACK RETURN,MAIL,line comment 29,100.99
302,119,2,3,5,29809.09,0.02,0.04,A,O,2/23/1994,9/13/1995,3/9/1993,TAKE BACK RETURN,MAIL,line comment 30,100.99
243,141,2,4,18,3874.4,0.1,0.04,R,F,12/24/1995,5/19/1995,9/9/1994,TAKE BACK RETURN,FOB,line comment 31,100.99
758,26,1,5,28,53749.79,0,0.06,A,F,1/22/1996,9/27/1997,3/6/1995,NONE,MAIL,line comment 32,100.99
1063,111,2,6,26,19279.92,0.05,0.08,A,O,7/15/1998,10/17/1995,3/31/1994,COLLECT COD,RAIL,line comment 33,100.99
1090,26,5,7,4,94030.83,0.05,0.02,N,F,9/27/1993,5/25/1997,5/29/1997,DELIVER IN PERSON,MAIL,line comment 34,100.99
351,53,6,1,47,86644.34,0.05,0.06,A,F,4/23/1995,3/25/1996,1/13/1993,DELIVER IN PERSON,MAIL,line comment 35,100.99
349,81,2,2,33,95354.76,0.1,0.04,N,O,9/5/1995,9/22/1996,2/8/1998,COLLECT COD,RAIL,line comment 36,100.99
541,20,3,3,43,50282.2,0.06,0,A,O,12/29/1994,12/13/1996,4/25/1998,DELIVER IN PERSON,TRUCK,line comment 37,100.99
468,135,9,4,16,50070.73,0,0,N,O,4/5/1996,1/20/1994,2/14/1994,NONE,AIR,line comment 38,100.99
1359,125,5,5,48,35827.23,0.1,0.04,R,F,11/21/1995,2/25/1993,12/15/1996,NONE,REG AIR,line comment 39,100.99
1405,133,1,6,22,93647.3,0.1,0,N,F,1/11/1996,6/22/1995,8/4/1994,NONE,TRUCK,line comment 40,100.99
183,50,7,7,2,26326.47,0.08,0.04,A,O,4/26/1995,1/27/1996,1/15/1998,COLLECT COD,SHIP,line comment 41,100.99
566,80,4,1,44,37197.33,0.06,0.06,N,F,9/6/1997,5/19/1994,11/11/1997,TAKE BACK RETURN,FOB,line comment 42,100.99
956,175,3,2,23,30908.91,0,0.06,A,F,8/26/1994,10/29/1994,5/28/1996,TAKE BACK RETURN,SHIP,line comment 43,100.99
446,73,10,3,5,84117.64,0,0.06,N,O,6/17/1993,6/24/1998,6/6/1996,DELIVER IN PERSON,TRUCK,line comment 44,100.99
283,90,5,4,23,69599.36,0,0,A,O,10/27/1995,12/19/1993,1/14/1996,COLLECT COD,REG AIR,line comment 45,100.99
66,122,6,5,13,45854.88,0.01,0.04,N,F,6/16/1995,9/27/1997,6/23/1997,DELIVER IN PERSON,SHIP,line comment 46,100.99
1391,83,10,6,20,63021.89,0.02,0.08,N,O,11/21/1997,10/22/1995,7/10/1994,TAKE BACK RETURN,FOB,line comment 47,100.99
1118,47,7,7,13,32225.53,0.01,0.04,R,O,3/4/1998,7/22/1994,11/27/1998,TAKE BACK RETURN,REG AIR,line comment 48,100.99
876,120,7,1,21,53321.97,0.06,0.06,R,F,12/21/1996,4/24/1993,4/19/1993,TAKE BACK RETURN,RAIL,line comment 49,100.99
765,33,10,2,49,15527.93,0.05,0.02,A,F,9/29/1998,8/8/1993,5/28/1997,COLLECT COD,TRUCK,line comment 50,100.99
113,70,2,3,43,1519.39,0.1,0,R,O,12/13/1993,4/5/1996,5/27/1998,NONE,AIR,line comment 51,100.99
296,144,8,4,4,13536.11,0,0.02,N,O,10/16/1998,9/26/1994,5/17/1996,NONE,REG AIR,line comment 52,100.99
1,40,10,5,1,84724.43,0.04,0,N,O,10/3/1993,10/10/1995,4/17/1995,DELIVER IN PERSON,TRUCK,line comment 53,100.99
250,77,7,6,2,87545.19,0.1,0.06,R,O,8/16/1993,8/21/1995,12/3/1995,TAKE BACK RETURN,AIR,line comment 54,100.99
379,37,4,7,43,65115.34,0.08,0.02,N,O,3/30/1993,5/5/1998,5/22/1998,NONE,SHIP,line comment 55,100.99
802,99,2,1,43,11307.05,0.1,0.04,R,F,2/2/1996,10/7/1997,8/30/1994,DELIVER IN PERSON,SHIP,line comment 56,100.99
70,166,10,2,30,13399.16,0.08,0,R,O,5/25/1996,12/23/1996,7/25/1994,TAKE BACK RETURN,REG AIR,line comment 57,100.99
1031,54,6,3,30,29711.87,0.02,0.04,A,F,8/13/1998,10/3/1998,9/15/1993,COLLECT COD,REG AIR,line comment 58,100.99
571,196,5,4,10,37511.76,0.06,0.06,R,O,7/28/1994,6/5/1998,3/23/1997,TAKE BACK RETURN,FOB,line comment 59,100.99
1206,149,6,5,43,19667.97,0.05,0.02,A,F,8/20/1996,10/4/1993,7/4/1993,DELIVER IN PERSON,AIR,line comment 60,100.99
1392,122,6,6,47,17462.65,0.01,0,N,O,8/8/1998,3/8/1994,12/14/1994,TAKE BACK RETURN,AIR,line comment 61,100.99
235,10,2,7,27,96873.2,0,0.08,R,F,10/23/1995,5/1/1993,12/14/1994,NONE,RAIL,line comment 62,100.99
401,65,8,1,45,47671.48,0.02,0.08,R,F,3/30/1995,7/13/1995,4/5/1995,COLLECT COD,TRUCK,line comment 63,100.99
1289,172,2,2,34,85042.34,0.04,0,N,O,4/10/1993,7/30/1994,1/22/1993,NONE,AIR,line comment 64,100.99
1398,187,9,3,27,60031.1,0.01,0.04,R,O,1/30/1995,4/30/1995,4/25/1998,NONE,SHIP,line comment 65,100.99
876,161,7,4,40,94519.59,0.02,0,N,O,12/3/1997,6/5/1994,10/20/1998,NONE,RAIL,line comment 66,100.99
47,58,5,5,8,52791.01,0,0.08,R,F,9/17/1996,1/5/1997,10/6/1993,COLLECT COD,SHIP,line comment 67,100.99
640,103,10,6,5,56506.8,0.04,0.08,N,O,8/11/1998,4/14/1998,12/14/1995,DELIVER IN PERSON,RAIL,line comment 68,100.99
286,53,9,7,22,44747.26,0.04,0.04,A,F,9/1/1993,9/13/1993,8/24/1995,TAKE BACK RETURN,RAIL,line comment 69,100.99
853,154,10,1,37,94994.9,0,0.04,N,F,10/17/1993,6/15/1994,1/14/1996,DELIVER IN PERSON,RAIL,line comment 70,100.99
979,78,4,2,3,52570.89,0.04,0.04,N,O,11/3/1997,4/18/1993,3/15/1995,TAKE BACK RETURN,REG AIR,line comment 71,100.99
773,179,3,3,44,77680.95,0.1,0,R,F,5/5/1997,7/19/1994,4/19/1994,TAKE BACK RETURN,RAIL,line comment 72,100.99
703,112,1,4,40,103132.72,0.06,0.04,N,O,3/5/1995,1/12/1994,2/11/1993,COLLECT COD,TRUCK,line comment 73,100.99
117,20,1,5,48,79204.81,0,0,N,F,10/21/1995,1/10/1995,3/3/1996,DELIVER IN PERSON,SHIP,line comment 74,100.99
1242,102,8,6,23,63581.39,0.04,0.04,A,O,6/16/1994,11/11/1993,11/9/1993,NONE,FOB,line comment 75,100.99
1461,78,6,7,14,52397.39,0.06,0.02,A,F,12/22/1997,9/28/1995,11/28/1998,NONE,SHIP,line comment 76,100.99
842,181,10,1,45,57234.67,0.01,0,R,F,11/20/1996,11/18/1993,4/14/1995,COLLECT COD,AIR,line comment 77,100.99
1485,37,1,2,34,24887.26,0.04,0,N,F,3/6/1997,2/2/1998,4/13/1994,DELIVER IN PERSON,TRUCK,line comment 78,100.99
123,72,10,3,3,29024.57,0.08,0.04,R,F,12/13/1993,3/19/1993,4/17/1997,TAKE BACK RETURN,TRUCK,line comment 79,100.99
1091,14,5,4,3,24253.86,0.08,0.02,N,F,11/1/1997,4/17/1993,10/9/1996,NONE,AIR,line comment 80,100.99
876,187,1,5,49,62389.25,0,0.04,N,F,11/13/1997,3/23/1996,12/31/1998,TAKE BACK RETURN,TRUCK,line comment 81,100.99
958,191,4,6,37,75734.86,0.05,0.02,N,O,4/11/1997,2/24/1996,1/29/1996,DELIVER IN PERSON,MAIL,line comment 82,100.99
80,158,5,7,50,57378.81,0.06,0.08,R,F,6/5/1997,10/24/1995,2/20/1993,DELIVER IN PERSON,SHIP,line comment 83,100.99
948,5,8,1,37,69653.79,0.05,0.02,N,F,12/23/1997,6/1/1993,1/9/1997,TAKE BACK RETURN,REG AIR,line comment 84,100.99
567,157,9,2,36,23566.51,0,0.08,R,O,11/22/1993,12/10/1997,1/7/1995,NONE,AIR,line comment 85,100.99
1291,45,3,3,18,27905.22,0.1,0.02,A,O,7/21/1995,8/12/1995,4/14/1994,DELIVER IN PERSON,MAIL,line comment 86,100.99
86,142,4,4,44,53624.13,0.1,0.08,N,F,7/23/1996,11/21/1995,3/8/1993,NONE,FOB,line comment 87,100.99
159,130,8,5,46,5554.48,0.04,0.04,N,O,3/24/1994,8/29/1995,4/16/1995,NONE,FOB,line comment 88,100.99
580,37,1,6,24,87171.79,0.08,0,R,F,10/13/1997,10/4/1996,7/30/1997,NONE,TRUCK,line comment 89,100.99
596,39,10,7,19,65610.4,0.02,0.04,N,O,7/2/1993,5/17/1995,7/6/1996,NONE,MAIL,line comment 90,100.99
1330,21,2,1,25,87337.12,0,0.02,N,F,4/10/1997,5/12/1994,12/2/1998,DELIVER IN PERSON,FOB,line comment 91,100.99
400,148,5,2,31,69489.53,0.1,0.04,N,F,1/8/1996,9/23/1995,1/22/1997,COLLECT COD,TRUCK,line comment 92,100.99
840,93,2,3,21,78748.99,0.01,0.02,R,O,12/28/1997,1/23/1997,6/7/1998,COLLECT COD,TRUCK,line comment 93,100.99
835,173,10,4,27,24806.87,0.02,0.08,A,O,10/1/1995,12/3/1995,3/21/1996,NONE,SHIP,line comment 94,100.99
1180,127,4,5,8,9380.69,0.08,0.08,N,F,8/31/1994,3/5/1993,11/15/1994,DELIVER IN PERSON,TRUCK,line comment 95,100.99
70,111,1,6,17,80551.27,0.1,0,A,O,6/2/1994,10/27/1993,6/27/1994,TAKE BACK RETURN,TRUCK,line comment 96,100.99
690,87,10,7,23,14161.48,0.04,0.04,A,O,5/3/1994,7/5/1993,10/30/1993,NONE,TRUCK,line comment 97,100.99
1434,35,3,1,27,66538.07,0.08,0.04,A,O,5/9/1998,9/16/1994,2/1/1993,NONE,REG AIR,line comment 98,100.99
1042,185,10,2,42,48089.5,0.06,0.06,R,O,12/25/1994,8/10/1995,5/2/1996,TAKE BACK RETURN,SHIP,line comment 99,100.99
787,82,3,3,4,59597.87,0.08,0.04,N,O,8/15/1996,5/13/1995,10/30/1997,NONE,FOB,line comment 100,100.99
243,74,5,4,40,33609.93,0.06,0.04,R,F,11/10/1994,7/6/1995,11/25/1994,NONE,SHIP,line comment 101,100.99
197,53,9,5,39,79298.43,0.04,0.04,A,O,8/1/1994,4/23/1993,6/12/1993,COLLECT COD,RAIL,line comment 102,100.99
578,147,7,6,32,87522.09,0,0.04,A,F,4/13/1995,11/4/1998,6/1/1994,TAKE BACK RETURN,SHIP,line comment 103,100.99
1011,68,2,7,8,75425.91,0.01,0.06,N,F,11/6/1997,4/23/1994,12/19/1996,DELIVER IN PERSON,REG AIR,line comment 104,100.99
687,71,8,1,15,76581.97,0.06,0.02,A,O,9/8/1998,7/13/1996,6/7/1993,TAKE BACK RETURN,RAIL,line comment 105,100.99
1300,161,1,2,46,83536.24,0.06,0.02,N,O,5/26/1993,3/21/1997,6/21/1995,COLLECT COD,SHIP,line comment 106,100.99
270,51,2,3,31,16656.61,0.02,0.06,A,O,3/3/1996,1/14/1993,11/14/1997,DELIVER IN PERSON,TRUCK,line comment 107,100.99
1409,68,10,4,36,64497.15,0.02,0,R,O,9/9/1997,11/29/1996,6/7/1998,COLLECT COD,SHIP,line comment 108,100.99
1225,92,9,5,15,91947.82,0.1,0.06,R,F,5/26/1997,1/31/1994,6/16/1995,DELIVER IN PERSON,AIR,line comment 109,100.99
1357,109,2,6,49,30790.58,0.1,0.04,N,F,10/11/1995,7/30/1996,4/11/1994,NONE,REG AIR,line comment 110,100.99
1408,61,1,7,26,74236.4,0.1,0.06,R,F,8/15/1997,9/10/1998,6/1/1995,TAKE BACK RETURN,RAIL,line comment 111,100.99
802,114,7,1,36,81205.65,0.05,0.04,R,F,8/12/1997,8/12/1993,1/5/1996,TAKE BACK RETURN,REG AIR,line comment 112,100.99
840,57,10,2,15,36260.51,0,0.04,N,O,1/8/1998,3/28/1994,9/12/1996,COLLECT COD,FOB,line comment 113,100.99
1444,86,6,3,35,2972.67,0,0.06,A,O,1/5/1994,7/21/1993,10/26/1998,COLLECT COD,SHIP,line comment 114,100.99
1471,59,5,4,35,21547.66,0.02,0.08,N,F,6/9/1997,9/19/1996,8/21/1997,COLLECT COD,FOB,line comment 115,100.99
1079,27,9,5,47,26777.62,0,0,R,F,3/24/1993,6/23/1993,10/5/1994,NONE,SHIP,line comment 116,100.99
254,97,7,6,2,24832.05,0.04,0,N,F,1/21/1996,12/14/1993,11/10/1993,DELIVER IN PERSON,FOB,line comment 117,100.99
1110,155,3,7,47,74098.06,0.08,0,N,F,3/2/1993,3/7/1995,7/2/1996,NONE,TRUCK,line comment 118,100.99
416,26,5,1,33,78259.44,0.05,0.04,A,F,2/23/1998,3/23/1997,4/7/1996,TAKE BACK RETURN,RAIL,line comment 119,100.99
1440,137,9,2,15,101504.52,0.05,0.06,N,F,3/10/1996,3/12/1993,7/29/1998,TAKE BACK RETURN,SHIP,line comment 120,100.99
1184,7,7,3,49,57771.8,0.01,0.06,N,F,7/7/1995,2/23/1997,5/7/1998,DELIVER IN PERSON,REG AIR,line comment 121,100.99
426,126,10,4,20,35489.91,0.01,0,N,O,11/25/1994,8/2/1994,7/10/1997,TAKE BACK RETURN,FOB,line comment 122,100.99
517,106,5,5,47,88265.58,0.04,0,A,F,7/15/1998,9/9/1994,5/30/1993,NONE,REG AIR,line comment 123,100.99
1152,126,9,6,37,63197.87,0,0.04,R,F,5/7/1995,8/24/1995,8/11/1996,TAKE BACK RETURN,REG AIR,line comment 124,100.99
1433,20,7,7,31,54426.56,0.01,0,N,O,10/10/1997,10/26/1994,10/31/1998,DELIVER IN PERSON,MAIL,line comment 125,100.99
1015,44,9,1,13,46432.41,0.01,0,R,O,10/4/1997,9/9/1997,6/24/1997,DELIVER IN PERSON,SHIP,line comment 126,100.99
661,158,6,2,8,46211.63,0.05,0.04,A,O,11/11/1998,8/3/1994,4/3/1996,COLLECT COD,AIR,line comment 127,100.99
967,119,4,3,40,99955.12,0.06,0.08,R,O,10/27/1995,11/4/1994,11/18/1998,TAKE BACK RETURN,RAIL,line comment 128,100.99
12,80,4,4,21,44216.32,0.02,0.06,N,O,10/2/1993,2/22/1998,9/17/1996,DELIVER IN PERSON,RAIL,line comment 129,100.99
1304,144,4,5,40,49667.62,0.02,0,R,O,12/6/1996,3/1/1995,1/30/1996,NONE,AIR,line comment 130,100.99
522,144,9,6,28,61713.94,0.05,0.04,A,O,7/10/1997,11/14/1993,9/17/1994,DELIVER IN PERSON,REG AIR,line comment 131,100.99
260,134,10,7,14,30032.49,0.05,0.08,A,F,2/24/1994,9/14/1996,2/10/1996,TAKE BACK RETURN,MAIL,line comment 132,100.99
1260,38,3,1,11,1177.9,0.04,0.02,N,F,1/10/1994,1/2/1993,8/17/1996,DELIVER IN PERSON,RAIL,line comment 133,100.99
670,78,9,2,9,54142.93,0.1,0.06,N,O,4/17/1998,5/30/1997,3/26/1997,TAKE BACK RETURN,REG AIR,line comment 134,100.99
1240,55,3,3,31,37836.88,0.06,0.08,A,F,11/17/1993,8/9/1994,11/26/1997,TAKE BACK RETURN,TRUCK,line comment 135,100.99
1336,90,3,4,45,82991.81,0.01,0.08,N,F,11/19/1997,3/25/1998,11/18/1996,TAKE BACK RETURN,MAIL,line comment 136,100.99
367,192,1,5,40,59146.57,0.04,0.06,N,F,3/13/1997,1/18/1997,11/25/1998,COLLECT COD,RAIL,line comment 137,100.99
1030,4,10,6,38,33196.15,0.01,0.04,R,O,11/6/1995,2/1/1996,5/15/1998,TAKE BACK RETURN,RAIL,line comment 138,100.99
1471,121,10,7,45,74178.72,0.05,0,A,F,5/5/1993,7/2/1998,12/13/1994,TAKE BACK RETURN,REG AIR,line comment 139,100.99
60,157,3,1,42,78998.51,0.01,0,A,O,2/22/1997,6/24/1994,12/6/1993,TAKE BACK RETURN,AIR,line comment 140,100.99
1115,72,4,2,8,6731.79,0,0.04,A,O,2/4/1994,9/24/1996,7/20/1996,COLLECT COD,FOB,line comment 141,100.99
1368,172,1,3,47,99154.52,0,0.06,N,O,9/2/1997,8/17/1998,8/28/1994,NONE,RAIL,line comment 142,100.99
1411,130,7,4,12,47035.65,0.05,0.08,N,O,3/25/1995,6/28/1996,1/27/1996,NONE,RAIL,line comment 143,100.99
181,30,2,5,22,49413.55,0.01,0.08,N,O,3/12/1998,1/31/1995,7/24/1996,DELIVER IN PERSON,AIR,line comment 144,100.99
167,186,4,6,11,82968.05,0.04,0.04,R,O,3/1/1998,6/28/1994,6/25/1996,DELIVER IN PERSON,TRUCK,line comment 145,100.99
848,58,4,7,46,30770.32,0.05,0.02,R,O,7/16/1996,12/27/1994,4/23/1996,NONE,REG AIR,line comment 146,100.99
715,198,9,1,29,28425.92,0.1,0.04,R,O,1/29/1997,5/31/1993,4/29/1997,COLLECT COD,FOB,line comment 147,100.99
425,88,9,2,37,22819.46,0.08,0.04,A,F,3/28/1996,1/7/1994,10/4/1998,COLLECT COD,SHIP,line comment 148,100.99
1349,162,3,3,14,49562.96,0,0,R,O,10/19/1998,3/29/1998,8/15/1996,NONE,FOB,line comment 149,100.99
1290,92,1,4,25,69396.62,0,0.04,N,F,3/5/1994,5/2/1998,10/2/1996,NONE,REG AIR,line comment 150,100.99
957,140,3,5,7,20368.95,0.06,0.04,N,F,10/29/1994,2/13/1998,11/17/1997,TAKE BACK RETURN,TRUCK,line comment 151,100.99
989,174,7,6,16,27180.4,0.06,0.08,R,O,10/15/1996,8/18/1995,9/8/1998,DELIVER IN PERSON,TRUCK,line comment 152,100.99
336,132,3,7,28,81442.24,0.08,0.08,R,O,4/27/1993,7/26/1994,6/17/1994,NONE,AIR,line comment 153,100.99
940,102,3,1,4,101862.33,0.05,0.02,R,O,11/18/1996,8/28/1994,4/1/1995,COLLECT COD,SHIP,line comment 154,100.99
185,186,4,2,20,9263.05,0.04,0.02,N,F,11/24/1997,1/21/1993,5/10/1998,COLLECT COD,SHIP,line comment 155,100.99
1369,97,8,3,7,49886.81,0.08,0.02,A,O,4/19/1998,1/28/1994,5/7/1997,COLLECT COD,SHIP,line comment 156,100.99
1382,187,7,4,49,98214.05,0.08,0.04,A,F,3/5/1996,12/28/1998,10/21/1993,NONE,TRUCK,line comment 157,100.99
482,95,6,5,43,77941.65,0,0.02,R,O,12/31/1994,6/19/1997,11/13/1993,COLLECT COD,MAIL,line comment 158,100.99
191,87,7,6,32,20458.34,0.04,0.04,A,O,11/19/1997,10/10/1997,9/10/1994,NONE,SHIP,line comment 159,100.99
864,46,3,7,25,71162.15,0.1,0,R,O,12/6/1995,3/20/1998,12/5/1993,NONE,REG AIR,line comment 160,100.99
654,33,10,1,47,11451.2,0.08,0,A,F,10/21/1994,2/6/1998,2/17/1993,TAKE BACK RETURN,REG AIR,line comment 161,100.99
530,190,2,2,43,42697.24,0,0.04,A,F,10/7/1997,8/19/1998,3/8/1997,TAKE BACK RETURN,REG AIR,line comment 162,100.99
869,137,7,3,22,88735.72,0.06,0,A,O,1/3/1995,9/8/1994,1/29/1993,NONE,REG AIR,line comment 163,100.99
952,73,1,4,38,27727.89,0.1,0.06,N,F,7/18/1993,3/1/1998,2/12/1997,DELIVER IN PERSON,FOB,line comment 164,100.99
49,139,5,5,44,39325.29,0.08,0.04,N,F,4/28/1996,1/1/1997,9/5/1997,DELIVER IN PERSON,TRUCK,line comment 165,100.99
732,188,1,6,21,31873.95,0,0.08,A,F,4/3/1994,10/16/1995,12/19/1994,DELIVER IN PERSON,FOB,line comment 166,100.99
563,89,8,7,7,14015.98,0.02,0.06,A,O,11/1/1997,11/15/1998,2/21/1998,DELIVER IN PERSON,RAIL,line comment 167,100.99
783,132,2,1,21,39689.35,0.02,0.08,R,F,2/19/1994,9/27/1997,6/30/1997,DELIVER IN PERSON,MAIL,line comment 168,100.99
393,147,5,2,48,27626.08,0.01,0.06,R,O,4/22/1994,7/20/1993,3/13/1997,TAKE BACK RETURN,MAIL,line comment 169,100.99
1028,172,1,3,49,98236.51,0.05,0.02,A,F,2/8/1996,1/13/1995,3/13/1996,NONE,RAIL,line comment 170,100.99
547,119,10,4,27,22452.54,0.08,0.02,A,F,1/31/1996,2/2/1994,6/26/1995,COLLECT COD,RAIL,line comment 171,100.99
1492,183,10,5,46,34675.55,0.01,0.08,R,F,3/24/1996,9/8/1996,5/13/1997,TAKE BACK RETURN,FOB,line comment 172,100.99
311,119,8,6,1,36584.02,0.06,0.04,N,O,12/26/1997,5/17/1997,11/14/1995,TAKE BACK RETURN,RAIL,line comment 173,100.99
171,54,9,7,43,89580.95,0.01,0.06,R,F,11/15/1996,4/10/1996,7/15/1996,TAKE BACK RETURN,REG AIR,line comment 174,100.99
1157,111,7,1,30,3976.19,0.02,0.08,N,F,12/11/1996,7/4/1998,8/20/1995,TAKE BACK RETURN,FOB,line comment 175,100.99
448,55,2,2,9,40275.52,0.01,0,A,F,6/9/1997,1/2/1995,10/14/1994,TAKE BACK RETURN,FOB,line comment 176,100.99
655,198,6,3,27,37528.16,0.04,0.06,A,O,2/17/1996,7/25/1996,8/20/1998,TAKE BACK RETURN,MAIL,line comment 177,100.99
322,46,7,4,26,52387.4,0.1,0.04,R,O,1/15/1998,12/22/1998,9/30/1996,TAKE BACK RETURN,REG AIR,line comment 178,100.99
857,106,4,5,12,72002.75,0.01,0.06,A,O,9/9/1997,7/8/1995,7/22/1994,DELIVER IN PERSON,FOB,line comment 179,100.99
341,146,8,6,37,77080,0,0.04,A,O,10/21/1995,2/25/1997,4/4/1993,TAKE BACK RETURN,FOB,line comment 180,100.99
1481,62,3,7,33,90740.75,0.02,0.06,R,O,2/20/1997,8/14/1996,6/28/1994,NONE,RAIL,line comment 181,100.99
1401,155,8,1,2,22439.11,0.1,0.06,N,O,10/1/1995,3/5/1998,8/11/1998,DELIVER IN PERSON,AIR,line comment 182,100.99
1479,18,1,2,39,88080.94,0.02,0.02,A,O,3/9/1998,7/23/1997,10/30/1998,TAKE BACK RETURN,AIR,line comment 183,100.99
1466,199,10,3,25,8221.54,0.08,0.04,A,O,5/11/1994,12/2/1997,5/24/1998,DELIVER IN PERSON,SHIP,line comment 184,100.99
1468,131,8,4,26,87085.42,0,0.04,R,O,6/25/1997,3/1/1994,8/21/1994,NONE,AIR,line comment 185,100.99
846,169,6,5,38,79309.78,0.01,0.02,N,O,2/10/1997,5/31/1998,5/11/1995,NONE,RAIL,line comment 186,100.99
502,194,5,6,22,67703.8,0.01,0.06,R,F,7/7/1998,12/27/1997,9/16/1996,TAKE BACK RETURN,REG AIR,line comment 187,100.99
1069,74,1,7,17,60024.46,0,0.02,N,F,8/30/1994,1/25/1997,4/7/1996,NONE,REG AIR,line comment 188,100.99
1379,76,3,1,11,59962.93,0.05,0.06,A,O,12/7/1997,8/24/1994,4/12/1996,TAKE BACK RETURN,SHIP,line comment 189,100.99
304,150,1,2,41,24614.87,0.04,0.08,R,F,5/25/1996,9/15/1998,10/18/1998,TAKE BACK RETURN,TRUCK,line comment 190,100.99
644,134,6,3,40,94545.42,0.06,0.02,R,F,8/15/1998,11/24/1994,11/22/1998,TAKE BACK RETURN,MAIL,line comment 191,100.99
461,80,4,4,31,94246.75,0,0,N,O,11/3/1996,2/14/1996,5/5/1994,COLLECT COD,SHIP,line comment 192,100.99
